la,lo,s
52.831,-0.1291,3
53.2426,-0.5276,3
53.4254,0.0535,2
53.3611,0.0084,3
53.341,-0.2233,2
52.6637,1.2848,3
52.4011,1.298,3
52.7754,0.4679,2
52.7953,0.9531,1
52.6572,1.28,3
52.6329,1.2591,3
52.6238,1.3138,3
52.4281,0.7555,3
53.0722,-0.8128,3
52.9613,-1.0689,3
52.9011,-1.1195,3
53.4183,-1.044,3
53.1945,-1.1805,3
53.3018,-1.1202,2
53.2097,-1.0088,3
53.2954,-0.8615,3
52.9242,-1.2183,2
53.0739,-1.294,3
53.1565,-1.2342,3
52.9786,-1.0579,3
52.9031,-1.2518,3
51.6465,-1.2095,3
51.8076,-1.1405,3
52.976,-2.2227,3
52.3021,0.9167,3
52.195,0.9924,3
52.0614,1.1848,3
52.0532,1.1577,2
51.3973,-0.4018,3
51.2326,-0.7775,3
51.293,-0.5025,3
51.1544,-0.2184,3
51.3266,-0.2739,3
51.1787,-0.6503,2
51.3059,-0.4041,3
51.3007,-0.3107,3
51.2276,-0.4898,3
51.4223,-0.4424,3
51.2268,-0.7139,2
51.437,-0.4997,3
51.2405,-0.6001,3
51.1715,-0.1615,3
51.1345,-0.5702,3
51.3157,-0.7444,3
51.3588,-0.2782,3
52.5794,-1.7775,3
52.5643,-1.5029,3
52.578,-1.549,3
52.5636,-1.7052,3
51.0457,-0.3432,3
51.0986,-0.2124,3
50.8149,-0.3853,3
50.8333,-0.3769,2
52.2103,-2.205,2
52.2863,-2.1147,3
52.0916,-1.9273,3
52.091,-1.9827,2
55.8082,-4.3146,2
56.0264,-3.7608,3
56.7539,-5.8012,2
55.9484,-4.7614,3
55.6423,-4.7513,3
57.1563,-2.1156,3
56.0062,-4.9628,3
55.7964,-4.5961,3
56.5292,-2.9443,2
56.4657,-2.9824,3
56.4632,-3.4077,2
55.8869,-4.2305,2
55.8583,-4.2558,2
55.8565,-4.2582,2
55.8463,-4.2355,3
55.7784,-3.9139,3
55.85,-4.0503,3
55.8604,-3.7704,3
52.9307,-3.8011,3
53.2597,-3.4516,3
53.0972,-3.072,2
53.1621,-3.0048,3
53.0766,-3.0259,2
51.8152,-4.2968,2
51.5716,-3.4267,2
51.7353,-3.1382,2
51.6226,-3.0305,2
52.532,-3.0465,2
52.6576,-3.1652,3
52.5362,-3.2505,3
52.0472,-3.0999,2
54.5689,-1.1767,3
54.5469,-1.5531,3
53.7435,-2.486,3
53.8275,-3.0398,3
