Data;Ora;Luogo;Feriti;Tipo;Latitudine;Longitudine
20/01/2023;17:20;VIALE MICHELANGELO di fronte al civico 2020;1;M;38,133075;13,309362
20/01/2023;18:00;VIA CRISPI FRANCESCO altezza sottovia crispi;0;C;38,122355;13,365252
21/01/2023;00:25;CORSO CALATAFIMI nr. 410;0;C;38,103566;13,331496
21/01/2023;02:05;VIA MORELLO NUNZIO intersezione VIA DI MARZO GIOACCHINO;0;C;38,132834;13,344118
21/01/2023;02:30;PIAZZA VALDESI intersezione VIALE REGINA ELENA;0;C;38,197117;13,33177
21/01/2023;04:40;VIALE REGIONE SICILIANA S.E. nr. 4100;0;C;38,086166;13,351011
21/01/2023;05:30;VIA DEODATO PIER LUIGI intersezione con VIA RAITI CARMELO;0;C;38,096038;13,347018
21/01/2023;08:35;VIA BORRELLI ALFONSO intersezione VIA CASTRIOTA GIORGIO;1;F;38,130635;13,353766
21/01/2023;12:40;VIA RAIA ANDREA intersezione con VIA DEL CASTORO;0;C;38,083997;13,358336
21/01/2023;13:50;VIA MARCONI GUGLIELMO altezza (inters.) VIA CUSMANO GIACOMO;3;F;38,124759;13,347955
21/01/2023;14:30;VIALE REGIONE SICILIANA N.O. carr. laterale Civ 7030;1;F;38,160601;13,311317
21/01/2023;18:00;VIA ORETO intersezione VIA ERRANTE VINCENZO;0;C;38,108384;13,366184
21/01/2023;20:25;VIALE CROCE ROSSA altezza fermata autobus;2;F;38,150462;13,338915
21/01/2023;23:30;VIA CUSMANO GIACOMO intersezione VIA MARCONI GUGLIELMO;1;F;38,124758;13,34795
22/01/2023;00:01;VIA BRASCA altezza del civico 9;1;F;38,086831;13,38139
22/01/2023;00:45;VIA ARCHIMEDE intersezione VIA EMPEDOCLE;0;C;38,129559;13,356825
22/01/2023;03:00;VIA BELVEDERE altezza 360-2;0;C;38,119114;13,317755
22/01/2023;05:15;VIA MESSINA MARINE altezza del civico 365;1;F;38,103725;13,392367
22/01/2023;05:30;VIA LINCOLN nr. 7A;0;C;38,113575;13,372742
22/01/2023;10:50;VIA SICCHERIA QUATTRO CAMERE nr. 15;0;C;38,112365;13,335378
22/01/2023;17:30;PIAZZA SETT'ANGELI altezza SCUOLA;0;C;38,114967;13,356643
22/01/2023;19:30;VIALE STRASBURGO pressi n. 352;1;F;38,157065;13,32627
