procom,dzcom,pop_2018,var_perc,ivsm,agmax_50,e31_pct,a7,a7_pct,persone_per_abitazione,erecq_txt
090011,Bonnanaro,973,-4.794520547945205,97.1882223945196,0.05,0.539,341,43.001,1.227,entro il 1970
090012,Bono,3531,-2.6199669056811916,99.67741099637244,0.05,0.468,558,27.706,1.753,entro il 1980
090013,Bonorva,3386,-7.5621075621075615,98.54181561074238,0.05,3.85,661,30.183,1.546,entro il 1980
090014,Bortigiadas,759,-4.648241206030151,97.31011311710247,0.05,0.195,202,36.136,1.358,entro il 1990
090015,Borutta,286,0.7042253521126761,97.04662866149827,0.05,1.639,84,39.81,1.355,entro il 1970
090016,Bottidda,680,-7.734056987788331,100.92987288805415,0.05,0.627,60,16.086,1.823,entro il 1980
090017,Buddusò,3846,-3.2452830188679247,101.12636286372346,0.05,0.121,527,26.509,1.935,entro il 1990
090091,Budoni,5201,7.547559966914806,98.14227293681702,0.05,1.379,6997,76.054,0.565,entro il 2005
090018,Bultei,924,-11.494252873563218,100.64390577356423,0.05,2.761,106,19.887,1.734,entro il 1980
090019,Bulzi,507,-7.312614259597806,98.8656164855394,0.05,0.333,59,19.032,1.635,entro il 1990
090020,Burgos,903,-3.8338658146964857,102.10702899435225,0.05,3.586,183,31.826,1.57,entro il 1980
